,Name,Symbol,Weight,Price,Change,Percent
0,Apple Inc.,AAPL,5.918711,   385.46,0.15,(0.04%)
1,Microsoft Corporation,MSFT,5.815551,   203.18,0.30,(0.15%)
2,Amazon.com Inc.,AMZN,4.730508,"   2,962.55",0.58,(0.02%)
3,Facebook Inc. Class A,FB,2.180427,   241.20,-0.83,(-0.34%)
4,Alphabet Inc. Class A,GOOGL,1.710792,"   1,516.85",0.00,(0.00%)
5,Alphabet Inc. Class C,GOOG,1.670869,"   1,519.00",3.45,(0.23%)
6,Johnson & Johnson,JNJ,1.479941,   149.45,0.10,(0.07%)
7,Berkshire Hathaway Inc. Class B,BRK.B,1.397719,   191.28,0.52,(0.27%)
8,Visa Inc. Class A,V,1.228678,   195.20,0.11,(0.06%)
9,Procter & Gamble Company,PG,1.162121,   125.60,-0.03,(-0.02%)
10,JPMorgan Chase & Co.,JPM,1.146922,   98.25,0.09,(0.09%)
11,UnitedHealth Group Incorporated,UNH,1.096349,   307.20,0.67,(0.22%)
12,Home Depot Inc.,HD,1.044694,   260.99,0.61,(0.23%)
13,Mastercard Incorporated Class A,MA,0.994138,   304.30,0.24,(0.08%)
14,Intel Corporation,INTC,0.942428,   60.03,0.03,(0.05%)
15,NVIDIA Corporation,NVDA,0.93855,   408.50,0.44,(0.11%)
16,Netflix Inc.,NFLX,0.872974,   490.75,-2.24,(-0.45%)
17,Verizon Communications Inc.,VZ,0.868729,   56.44,0.14,(0.25%)
18,AT&T Inc.,T,0.814952,   30.23,-0.02,(-0.07%)
19,Walt Disney Company,DIS,0.811916,   118.56,-0.09,(-0.08%)
20,Adobe Inc.,ADBE,0.771999,   432.42,0.00,(0.00%)
21,Merck & Co. Inc.,MRK,0.754076,   79.75,-0.12,(-0.15%)
22,PayPal Holdings Inc,PYPL,0.750421,   174.20,0.28,(0.16%)
23,Pfizer Inc.,PFE,0.744281,   36.37,0.12,(0.33%)
24,Cisco Systems Inc.,CSCO,0.730714,   46.70,-0.05,(-0.11%)
25,Comcast Corporation Class A,CMCSA,0.722389,   42.02,-0.16,(-0.38%)
26,Exxon Mobil Corporation,XOM,0.70466,   43.48,-0.04,(-0.09%)
27,Walmart Inc.,WMT,0.704535,   131.80,0.06,(0.05%)
28,Bank of America Corp,BAC,0.703237,   23.25,0.03,(0.13%)
29,PepsiCo Inc.,PEP,0.698399,   134.66,0.00,(0.00%)
30,Coca-Cola Company,KO,0.671402,   46.89,0.07,(0.15%)
31,AbbVie Inc.,ABBV,0.662766,   101.02,0.19,(0.19%)
32,Abbott Laboratories,ABT,0.641776,   99.80,0.55,(0.55%)
33,salesforce.com inc.,CRM,0.629077,   188.30,0.52,(0.28%)
34,Chevron Corporation,CVX,0.620887,   87.36,0.17,(0.19%)
35,Thermo Fisher Scientific Inc.,TMO,0.583322,   398.99,3.59,(0.91%)
36,Amgen Inc.,AMGN,0.565017,   257.39,-1.07,(-0.41%)
37,Costco Wholesale Corporation,COST,0.542186,   324.79,0.00,(0.00%)
38,McDonald's Corporation,MCD,0.53429,   191.05,-0.43,(-0.22%)
39,Accenture Plc Class A,ACN,0.525336,   221.94,0.00,(0.00%)
40,Eli Lilly and Company,LLY,0.521556,   166.00,0.04,(0.02%)
41,Bristol-Myers Squibb Company,BMY,0.505176,   60.40,0.01,(0.02%)
42,NextEra Energy Inc.,NEE,0.494396,   275.00,-0.38,(-0.14%)
43,Medtronic Plc,MDT,0.483291,   98.60,0.02,(0.02%)
44,Linde plc,LIN,0.472206,   242.60,0.00,(0.00%)
45,Broadcom Inc.,AVGO,0.468466,   313.50,0.79,(0.25%)
46,Texas Instruments Incorporated,TXN,0.456579,   134.04,0.15,(0.11%)
47,NIKE Inc. Class B,NKE,0.453371,   96.30,0.02,(0.02%)
48,Union Pacific Corporation,UNP,0.451714,   181.22,-0.03,(-0.02%)
49,Danaher Corporation,DHR,0.447157,   191.99,1.04,(0.54%)
50,Philip Morris International Inc.,PM,0.441596,   75.33,0.30,(0.40%)
51,Oracle Corporation,ORCL,0.437274,   55.07,0.17,(0.31%)
52,American Tower Corporation,AMT,0.429595,   259.11,0.00,(0.00%)
53,International Business Machines Corporation,IBM,0.414408,   125.40,0.29,(0.23%)
54,Lowe's Companies Inc.,LOW,0.405636,   145.00,0.61,(0.42%)
55,Honeywell International Inc.,HON,0.404366,   155.45,0.45,(0.29%)
56,Citigroup Inc.,C,0.403205,   50.22,0.00,(0.00%)
57,QUALCOMM Incorporated,QCOM,0.386129,   92.44,0.21,(0.23%)
58,Gilead Sciences Inc.,GILD,0.362918,   77.31,-0.20,(-0.26%)
59,Boeing Company,BA,0.360571,   176.33,0.67,(0.38%)
60,Wells Fargo & Company,WFC,0.357519,   25.05,0.10,(0.40%)
61,3M Company,MMM,0.347465,   161.00,1.17,(0.73%)
62,Raytheon Technologies Corporation,RTX,0.345254,   62.17,-0.03,(-0.05%)
63,Lockheed Martin Corporation,LMT,0.33994,   369.99,1.49,(0.40%)
64,BlackRock Inc.,BLK,0.329174,   586.52,-1.20,(-0.20%)
65,Starbucks Corporation,SBUX,0.327047,   74.35,0.19,(0.26%)
66,Fidelity National Information Services Inc.,FIS,0.32288,   140.47,0.00,(0.00%)
67,CVS Health Corporation,CVS,0.319717,   65.40,0.04,(0.06%)
68,United Parcel Service Inc. Class B,UPS,0.317323,   118.85,0.30,(0.25%)
69,S&P Global Inc.,SPGI,0.316886,   354.01,-0.68,(-0.19%)
70,Charter Communications Inc. Class A,CHTR,0.316539,   560.98,-3.68,(-0.65%)
71,ServiceNow Inc.,NOW,0.297063,   422.50,0.69,(0.16%)
72,Becton Dickinson and Company,BDX,0.292515,   266.98,0.00,(0.00%)
73,Altria Group Inc,MO,0.290105,   41.54,0.00,(0.00%)
74,Mondelez International Inc. Class A,MDLZ,0.285843,   53.70,-0.37,(-0.68%)
75,Vertex Pharmaceuticals Incorporated,VRTX,0.283536,   294.53,0.00,(0.00%)
76,Caterpillar Inc.,CAT,0.282253,   136.90,0.00,(0.00%)
77,Intuit Inc.,INTU,0.280404,   290.30,1.03,(0.36%)
78,Booking Holdings Inc.,BKNG,0.269132,"   1,732.19",0.00,(0.00%)
79,Intuitive Surgical Inc.,ISRG,0.265211,   651.37,0.63,(0.10%)
80,Crown Castle International Corp,CCI,0.259964,   169.99,1.03,(0.61%)
81,Zoetis Inc. Class A,ZTS,0.254703,   144.66,0.00,(0.00%)
82,Prologis Inc.,PLD,0.254554,   95.30,-0.04,(-0.04%)
83,Anthem Inc.,ANTM,0.250695,   266.37,0.00,(0.00%)
84,Goldman Sachs Group Inc.,GS,0.250067,   211.74,0.33,(0.16%)
85,Cigna Corporation,CI,0.249895,   179.81,0.00,(0.00%)
86,Dominion Energy Inc,D,0.243061,   78.58,0.00,(0.00%)
87,TJX Companies Inc,TJX,0.241176,   53.00,0.09,(0.17%)
